GSM_ID,XIST,TYROBP,DOCK2,FCER1G,GSTA4,ABCC2,TIMELESS,ACBD5,LMAN1,KIFAP3,PCTK2,SNCA,RPS27,RPS18,PCBP2,STIP1,HSPA1A,DOPEY1,ENPP2,GAB2,TUBB4,ACTG1,SLC22A2,AGTR1,ZIC2,TEKT1,FANK1,HYDIN,MED6,SFRS3,PPP2R5A,RNASE11,LAMP2,P2RX7,MID1IP1,GJA1,STON2,CST3,CREBBP,ABCC11,MDGA1,SNAP91,BSN,GLS,DTL,UBE2C,BUB1,RFX4,DGCR6,AQP4,MT1M,AMPD1,EGR2,PDGFB
GSM1090369,-1.638263,-0.3296272,-0.2219928,-0.1913442,0.05466929,0.002057205,0.06064781,-0.1048401,-0.03626154,-0.1346881,-0.134348,0.07130625,-0.042024175,0.043026295,0.1093187,-0.03608553,-0.4521748,0.01888212,-0.5443414,-0.090387875,-0.02730535,-0.019195015,0.11318485,0.114022485,0.1851444,-0.08444596,-0.0934997,-0.00065895,-0.013039262,-0.01746328,0.1257337,0.08226326,-0.3282846,-0.2650118,-0.3550417,-0.2710394,-0.148089333,-0.06393564,0.08328631,-0.013969082,0.07301816,0.09664838,0.2007393,0.008837833,0.01540549,0.0880653,-0.06408529,-0.163117125,-0.06997903,-0.313339367,-0.5841215,0.07528938,-0.2322255,0.06185075
GSM1090370,-1.5855095,-0.1944741,-0.2136728,-0.14702184,-0.04513839,-0.06355639,-0.04113068,-0.02862994,0.04392789,-0.009614558,0.081908975,-0.021853017,0.00333973,0.067677225,-0.1716301,-0.07064443,0.2130991,0.01681453,0.3293145,0.18620675,0.08131924,0.12511598,0.105254885,-0.00976706,-0.07675488,-0.05747772,-0.01076187,-0.088030635,-0.02411495,0.029212565,0.006576545,-0.08260135,0.140726027,-0.05568361,0.1265347,-0.2857822,-0.060972793,0.06418011,-0.100727625,0.06089746,-0.128277,-0.04300259,-0.08910751,-0.1577496,-0.02217861,-0.084096625,0.07826962,-0.18331165,0.05912331,-0.095883967,-0.130697,-0.01081281,-0.05665525,0.1356833
GSM1090371,-1.754669,0.03718992,0.005239176,-0.09326707,-0.012624274,-0.062725925,-0.006381732,0.05330848,-0.032137915,-0.01441193,-0.09190375,-0.10984896,0.01187284,0.060590615,0.1053539,-0.08616337,0.1461958,-0.0552725,0.3007918,0.3104353,0.0967665,0.2697092,0.05771158,0.002410867,-0.149359,-0.08327096,-0.1079091,0.040576075,-0.06289857,-0.024563681,0.106454105,0.1007096,0.12512542,0.2049719,0.07030608,-0.1432801,0.06090217,0.2020372,-0.1269865,0.02581809,-0.1237454,-0.09132514,-0.1057705,-0.1974815,-0.07724765,-0.04288569,0.13088,-0.108676655,0.07422353,-0.056947073,-0.1292288,-0.03258628,-0.2433502,-0.01146734
GSM1090372,-1.5962145,-0.3946022,-0.262632,-0.22706065,0.10448345,0.009260716,0.02063964,-0.02245622,0.03899312,0.07552834,-0.00126726,0.105490163,-0.032072293,0.105593455,0.05350473,-0.06816117,-0.436341,0.08201832,-0.1508865,-0.20593255,0.05436502,0.064093275,0.035257745,0.09488616,0.1288717,-0.08890052,-0.0766651,-0.083278585,0.020365734,0.06272867,0.027116035,0.03705789,-0.224232233,-0.3055245,-0.3842832,-0.3311429,-0.107407183,-0.1891878,0.028312054,0.046077375,-0.05642288,0.1322446,0.08439349,0.002963057,-0.001620384,-0.004267786,-0.03777598,-0.18472463,-0.0975167,-0.347591133,-0.5479471,0.03842672,-0.1520802,-0.002929901
GSM1090373,-1.6110255,-0.1053863,-0.03576921,-0.118732285,0.075270465,-0.01681074,0.02847826,-0.00714168,0.011658235,0.02980764,-0.108590875,0.057011557,0.05394933,0.16110585,0.02679515,-0.04608599,-0.4505721,0.03309853,0.1476893,0.03695703,-0.08213045,0.073611205,0.022261375,-0.05639956,0.02586208,-0.2100078,-0.000461885,-0.1225111,0.05298644,0.052650065,0.031175833,0.01054064,-0.034608983,-0.09692813,-0.1173938,-1.144308,-0.122090773,-0.3415485,-0.087767355,-0.003997307,-0.1018208,0.02092661,-0.01636498,-0.02112223,0.02897874,-0.00337959,-0.000981408,-0.469461575,-0.03964294,-0.614575767,-0.4579131,0.1381075,0.03901026,0.05128678
GSM1090374,-1.6322545,-0.07064174,-0.07386553,-0.105471645,0.084488435,-0.09904281,0.03160721,-0.01120254,0.025034548,0.04873135,-0.040113645,0.004472294,0.00967192,0.1252914,0.09540257,-0.006121044,-0.245533,0.05596801,-0.05955607,-0.098327625,0.01695501,0.031668116,0.07310468,0.22861705,0.1011244,-0.15751,-0.06222799,-0.075374285,-0.033541745,0.004522175,0.058147555,0.0478061,-0.160537433,-0.2088594,-0.2139394,-0.3323523,-0.0903067,-0.06908336,0.007222515,0.04658734,-0.06271943,0.1119204,0.05935113,0.02437603,2.51E-05,-0.03573086,-0.02649251,-0.16819334,-0.05522,-0.299273067,-0.5635948,0.004560584,-0.08142536,0.01223507
GSM1090375,-1.6998355,-0.3301874,-0.361609,-0.22541795,0.1073424,-0.04942918,0.02493659,-0.09532406,-0.001027305,-0.01145072,-0.05521293,0.056629193,-0.077715693,0.05579323,0.1613903,0.008283625,-0.3289955,0.040238,-0.2126253,-0.0972677,-0.005727537,0.01116134,0.039539895,-0.053827725,0.1457052,-0.1232139,-0.1002893,-0.14543054,-0.007450865,0.000207975,-0.101449105,-0.09461201,-0.251,-0.1983829,-0.3673736,-0.4225399,-0.134559801,-0.1168518,0.03689305,0.05498983,0.01996994,0.1255949,0.1055698,0.02601997,0.04739442,0.02170768,-0.06986331,-0.228826565,-0.04432516,-0.403912267,-0.5358227,0.07972075,-0.4412966,0.0459702
GSM1090377,-1.6090105,-0.2224863,-0.2713532,-0.165714555,0.16433745,-0.080542455,-0.008065811,0.1012032,0.116817155,0.1124516,0.047494054,0.1225251,0.02021047,0.11554585,0.0125936,-0.06108237,-0.7024819,0.07788768,-0.1586827,-0.2770521,-0.04038766,0.044673295,0.07832676,0.13249295,0.07443953,-0.1145684,-0.08744963,-0.2153284,0.00791345,0.074876953,0.06737719,0.0569453,-0.1996817,-0.3275894,-0.4443428,-0.3044989,-0.131145817,-0.1553046,-0.003146315,0.039290715,-0.1090355,0.1065193,0.02245668,0.01830552,0.01354977,-0.007156051,-0.06378833,-0.225339885,-0.1550591,-0.424253633,-0.5113834,-0.02487387,-0.4083041,-0.0778304
GSM1090379,-1.5529545,-0.5828406,-0.3371287,-0.26013805,0.09045728,0.000695437,-0.04512541,-0.1975442,0.0099061,-8.57E-05,-0.05772405,0.01413221,0.030290135,0.1691946,0.07146353,-0.05797651,-0.6777725,0.0856899,-0.6426271,-0.33111465,0.0682172,-0.034812726,0.026453477,-0.00997689,0.1261094,-0.02769757,-0.01517617,-0.086374245,0.043824863,0.060081995,-0.06386659,0.09571094,-0.389481267,-0.3583681,-0.5635155,-0.4700947,-0.15502367,-0.02435618,0.041284935,0.010040995,0.08624512,0.1169695,0.1310685,-0.001119352,0.01108317,0.067091245,-0.01476669,-0.22359139,-0.128275,-0.337549933,-0.6249292,0.03698716,-0.1096402,-0.03629243
GSM1090380,-1.5887045,-0.2600496,-0.1021344,-0.17953575,0.1338499,-0.0467762,0.02102645,0.09375373,0.064923798,0.1124495,0.04732546,0.046983033,-0.04323987,0.044068405,0.008985072,-0.09689533,-0.3119212,0.1285956,-0.0762448,-0.1424873,0.06106434,0.12056167,-0.004577065,0.084255705,-0.02972372,-0.03166876,0.01666758,-0.029909034,0.0269841,0.05630347,-0.016901878,-0.05409457,-0.149768767,-0.2174226,-0.308459,-0.1828696,-0.033839163,0.08592238,-0.016343997,0.04310035,-0.07280639,0.1049024,0.0135262,-0.02817235,0.006340522,-0.03202519,0.01634944,-0.115723683,-0.03361915,-0.134599357,-0.3724923,0.07700507,-0.1720931,0.007697308
GSM1090381,-1.739136,-0.423497,-0.3009944,-0.20022091,0.05681162,-0.01851868,0.0189485,-0.4130213,-0.103278777,-0.07919789,-0.11115673,-0.002550103,0.06128843,0.19600885,0.05059754,0.01989089,-0.6485178,0.03182682,-0.7216663,-0.35329415,-0.1087815,-0.111311445,0.15978627,-0.09854632,0.1489926,-0.09099567,-0.1086036,-0.06530467,-0.060560675,0.02394065,-0.03821055,0.07011703,-0.398430467,-0.2776782,-0.2575719,-0.7017869,-0.242954485,-0.03887581,0.013587965,0.012038495,0.1971264,0.08181625,0.2322885,0.009019039,0.02809815,0.069215065,-0.03469287,-0.3678399,-0.05564393,-0.415301167,-0.6805514,0.05528254,-0.1746803,0.1386907
GSM1090383,-1.735655,-0.3366337,-0.2494239,-0.163509524,0.029555,0.008597455,0.05131087,-0.3856118,-0.08926468,-0.1528787,-0.15999675,0.095056677,0.019243468,0.081195495,0.07543767,-0.006229706,-0.6201113,-0.06327651,-0.8169566,-0.27303565,-0.09450043,-0.07201938,0.110008705,0.104232675,0.1487748,-0.05924879,-0.1037485,-0.090766435,-0.033026034,-0.00124324,-0.08595143,0.07858662,-0.4306155,-0.3496573,-0.3659082,-0.3747359,-0.192825737,0.1036287,0.03929769,0.034003875,0.1304389,0.03543185,0.2547276,0.002509952,0.02678859,0.0694857,0.0204136,-0.177362125,-0.2097811,-0.3764368,-0.4999438,-0.07157221,-0.1559315,0.0629712
GSM1090385,-1.641222,-0.2966321,-0.1872318,-0.188938215,0.059279645,-0.038802299,0.02001165,-0.09869078,0.008896489,-0.06085502,-0.044342298,0.005003545,-0.02387652,0.076065305,0.09132301,-0.04217083,-0.2876068,0.04328686,-0.136751,-0.14891905,-0.03848848,0.020140095,0.04335679,-0.047034135,0.1732433,-0.1240875,-0.0957346,-0.138116175,-0.024868807,0.031660296,-0.070004222,0.02088761,-0.209646767,-0.2586137,-0.3551965,-0.3406603,-0.167999563,-0.08192579,0.017880084,0.02172887,0.02446357,0.1142424,0.1145001,-0.01799403,-0.00023853,0.03120781,-0.04250446,-0.202697532,-0.08277157,-0.450622833,-0.5617328,0.1188166,0.03293777,0.004821425
GSM1090388,-1.6398425,-0.340281,-0.3285808,-0.2521361,0.080235245,-0.07126791,-0.001186608,0.03147691,-0.002047825,0.03485522,0.00877831,0.113661113,0.029033588,0.017068245,0.004536648,-0.08001418,-0.2763952,0.05848122,0.1342707,-0.000693258,-0.01544814,0.12815045,0.04656123,-0.09355161,0.04478793,-0.1536468,-9.02E-05,-0.08891052,-0.01365886,0.03737255,-0.022348725,0.01863641,-0.028236822,-0.1240983,-0.1658426,-0.4768077,-0.080898797,-0.1228182,-0.053410165,0.035352225,-0.1579755,0.02489906,0.008355313,-0.06029785,-0.03497805,0.0123185,0.08851527,-0.268715855,-0.02860283,-0.3922983,-0.3791243,-0.06785572,-0.1503967,0.03860284
GSM1090391,-1.6761755,-0.2835276,-0.1572511,-0.1677382,0.09785001,-0.03985092,0.01628591,-0.1607293,0.03942402,-0.01213668,-0.043165459,0.086283423,-0.00705169,0.09420921,0.09046206,-0.09163854,-0.3765999,0.0376453,-0.47913,-0.217209,-0.03971999,-0.001171758,-0.018778165,0.2136627,0.2365893,-0.07991621,-0.1095767,-0.09882758,0.035933564,0.039355455,-0.17204925,-0.03186386,-0.2881132,-0.2714338,-0.4419906,-0.3369462,-0.098037608,-0.01865242,0.057100705,0.04120146,0.05342031,0.1229851,0.1540904,-0.0196842,0.01466541,0.019174005,-0.003978257,-0.21692972,-0.177625,-0.321586433,-0.6117933,0.09920081,-0.1934258,0.08783464
GSM1090393,-1.528692,-0.6972476,-0.3183086,-0.2820811,0.14597585,-0.02325736,0.02205089,-0.09142131,0.069549745,0.07730261,0.043668963,0.056755807,0.011430107,0.10426805,0.05966178,-0.05021441,-0.2933619,0.05736928,-0.7673274,-0.4216172,0.05149941,-0.02337553,0.037213705,-0.06720225,0.1043726,-0.1010886,-0.03454404,-0.076735311,0.037905366,0.11566112,-0.03251643,-0.06845846,-0.366395333,-0.2812965,-0.6380438,-0.3622086,-0.092271683,-0.01146117,0.055558025,0.047736995,0.03189566,0.1113422,0.07862721,0.01474314,0.00962545,-0.021430815,-0.07377128,-0.131721705,-0.06981531,-0.198185833,-0.5134835,0.0994087,-0.05515948,-0.006280594
