GSM_ID,XIST,TYROBP,DOCK2,FCER1G,GSTA4,ABCC2,TIMELESS,ACBD5,LMAN1,KIFAP3,PCTK2,SNCA,RPS27,RPS18,PCBP2,STIP1,HSPA1A,DOPEY1,ENPP2,GAB2,TUBB4,ACTG1,SLC22A2,AGTR1,ZIC2,TEKT1,FANK1,HYDIN,MED6,SFRS3,PPP2R5A,RNASE11,LAMP2,P2RX7,MID1IP1,GJA1,STON2,CST3,CREBBP,ABCC11,MDGA1,SNAP91,BSN,GLS,DTL,UBE2C,BUB1,RFX4,DGCR6,AQP4,MT1M,AMPD1,EGR2,PDGFB
GSM1090306,-1.659589,0.1786798,0.1122464,0.18761285,0.002593165,-0.027079425,-0.009028628,0.03554513,0.066625005,-0.04042413,0.04083461,-0.004726505,0.057831313,0.09753758,-0.02178745,-0.09932505,-0.1575198,-0.04238274,-0.05797406,0.005826117,0.0169086,0.00953101,0.05609705,-0.024716585,-0.07615955,-0.004900939,-0.02914171,0.014854635,0.00863178,0.070783711,-0.02064349,0.006563637,-0.012632243,-0.1594468,-0.1703189,0.2581632,0.155288733,0.2743072,-0.000437825,0.100008555,0.09774087,-0.0486027,-0.06355983,-0.1074277,-0.004378481,-0.00569178,0.03538572,0.24627137,0.1233242,0.345508567,0.3315461,0.01065999,-0.2538454,-0.0503675
GSM1090310,-1.5931605,-0.4536316,-0.2196082,-0.26521395,-0.2011923,0.110307535,0.01951559,-0.01344982,0.02524075,-0.04287851,0.036435865,-0.068768077,-0.084875468,0.055961755,0.07455369,0.3899495,0.7804171,-0.2603869,-0.08897515,-0.085559025,-0.04351796,-0.1870233,0.00359653,0.1482746,0.0892865,-0.1286867,-0.1040225,-0.06473688,-0.063773385,0.010404255,0.023651529,0.07332909,0.03436539,0.09460174,0.08800013,0.2475285,0.01026066,0.07786804,0.120683185,-0.06493903,0.180741,0.005171753,0.02825214,0.09459328,-0.02760726,0.019332807,-0.1401882,0.097114635,-0.04345696,0.10895857,-0.02127181,-0.1011623,-0.1684467,-0.06635799
GSM1090313,-1.6472355,-0.1403805,-0.106327,0.00596575,0.016434163,0.001508908,0.01794361,-0.0343497,-0.030738469,-0.1470171,-0.024654693,-0.094403617,0.002622707,-0.08187118,0.006615261,-0.0939195,-0.5974879,0.03210423,0.05309715,0.042956805,0.004277744,0.058038565,-0.003525745,-0.038543307,-0.04055582,0.09226312,0.05300143,0.185554345,-0.044124865,-0.02441821,0.25242101,0.104633,-0.02890874,-0.1719328,-0.08011176,0.02893166,0.124945847,0.08032212,-0.03386801,-0.01500795,0.04287013,-0.06153176,-0.03643919,-0.08743303,-0.0311433,0.005374595,0.03670477,0.012500705,0.1557797,0.087515003,0.00774839,0.03284852,-0.2811542,0.1387849
GSM1090314,-1.6670575,-0.1709481,-0.1515154,-0.092177365,0.030516765,-0.007529875,0.01479928,-0.4669816,-0.095180275,-0.1997599,-0.1126372,-0.050786893,0.028634018,0.13302565,0.07146661,-0.08272498,-0.7069663,0.05981306,-0.7345904,-0.22668475,-0.07379567,-0.16079619,0.018957575,0.02572043,0.1244829,-0.1175715,-0.07969759,-0.031688165,0.033710991,0.07111876,-0.052342455,-0.03915298,-0.233405417,-0.3072943,-0.1780057,0.002349674,-0.072999043,0.2493915,-0.0030823,0.025702095,0.2003348,-0.09478156,0.1424525,-0.06956576,0.03533471,0.04035993,0.1310897,-0.01612441,0.08833257,0.0487049,-0.1858344,0.05312924,-0.1961475,0.0928494
GSM1090315,-1.7205725,0.04980858,0.1009869,0.077180035,0.01292593,0.027656775,0.1342745,0.05819975,0.093496392,0.04430405,0.1655161,-0.046442744,-0.098663825,-0.018041081,0.1018215,-0.06875993,-0.4528089,-0.02921129,-0.3461881,-0.17150145,-0.02253,-0.081392465,0.044369835,-0.103626865,0.07536558,-0.2447345,-0.06281025,-0.072931995,-0.00888427,0.003093082,0.06267598,0.09972149,-0.008819703,-0.0498788,-0.04239495,0.2500245,-0.048518244,-0.1381298,0.081532395,0.034225461,0.00253698,0.1332049,0.05411087,0.170546,0.1386987,0.06141732,0.04058172,0.082563805,-0.04095961,0.131096057,-0.02681311,0.08834211,-0.262323,-0.000907166
GSM1090316,-1.59176,-0.2478298,-0.2690105,-0.07018085,-0.143464,0.120983545,-0.08417227,-0.4435766,-0.157208155,-0.2782272,-0.125544995,-0.126309446,-0.004978113,0.16492215,0.1410168,0.2960027,-0.1641661,-0.3427283,-0.8286359,-0.27464795,-0.1238025,-0.26430085,0.001221268,-0.115269965,0.2924513,-0.1574463,-0.150848,0.0009747,0.011983605,-0.08878334,-0.009217615,-0.02168129,-0.357843533,0.002975465,-0.06064257,-0.1152956,-0.12483007,0.06745597,0.182552375,-0.0352744,0.4934796,-0.02624283,0.2501087,0.1889187,0.04092743,0.18353625,6.00E-05,-0.092005495,-0.09736171,-0.178307867,0.2950079,0.02253886,-0.2562613,-0.03984508
GSM1090317,-1.6275285,-0.1686075,-0.09938889,-0.089633835,0.01473854,0.057813645,0.08079255,-0.004630741,-0.003709265,-0.1981887,6.47E-05,-0.008444212,-0.1860292,-0.03305773,0.0935315,-0.08335343,-0.6888917,-0.07184007,-0.4400901,-0.1413692,-0.09188789,-0.1994581,-0.029453925,-0.199044445,0.1164839,-0.3343276,-0.1007045,0.00064265,-0.00415607,-0.01116498,0.0535896,0.1738124,-0.16678954,-0.05107575,0.009015555,-0.2771021,-0.035427415,-0.2126534,0.088214483,-0.040547855,0.2460949,0.03632398,0.1899155,0.1487149,-0.01664506,0.16632515,-0.1193698,-0.13349801,-0.1198566,-0.169193467,-0.1353393,0.01782996,-0.4607561,0.04501453
GSM1090319,-1.6920565,0.008296002,-0.1212217,0.11160059,-0.041280965,0.1518763,0.04940336,-0.5024433,-0.15913699,-0.1192003,-0.113951075,-0.043942553,0.006058063,0.04606246,0.008307378,-0.08597447,-0.5654154,-0.07077065,-0.9204229,-0.28899865,0.0231149,-0.19294473,0.072713805,0.03050361,0.1353744,-0.1349241,-0.1279728,0.0134805,0.00128146,-0.131218,-0.046199326,0.006709257,-0.295430067,-0.1653549,-0.1411557,0.2492797,-0.087248977,0.1679414,0.051716745,0.078643405,0.2988402,-0.03614648,0.1340392,-0.008912839,0.1489968,0.2513398,0.3704786,0.0575624,0.1616276,0.160806273,0.1637959,0.01926337,-0.2325933,-0.0212527
GSM1090320,-1.518565,-0.2790125,-0.3137076,-0.08326948,-0.15492415,0.2258215,-0.07443444,-0.00992169,0.140654,-0.07502554,0.024511415,-0.084244665,-0.036096825,0.067855475,0.095581,0.4535879,0.7617441,-0.245932,-0.5282844,-0.25065495,0.007376933,-0.080818575,0.00424383,0.06659107,0.1757183,0.01918934,-0.1550153,-0.076638485,0.068518255,-0.016478845,0.06756217,0.09723201,-0.196680773,-0.06109859,-0.1677376,0.1741844,-0.04684929,0.04257848,0.16778385,-0.07406236,0.1462855,-0.04023881,0.06032382,0.2204824,-0.04491984,0.211438,-0.06580306,0.2082763,-0.1046542,-0.013719322,-0.1553392,-0.08589988,-0.41776,-0.1011112
GSM1090322,-1.5838215,-0.3310307,-0.2926168,-0.17703265,0.026435395,0.092501595,0.09132376,-0.01229102,0.00336535,-0.1645188,0.003965335,-0.061509093,-0.112366405,-0.01327421,0.1194196,-0.03111587,-0.6044452,-0.05874201,-0.6210207,-0.2132867,-0.03745504,-0.09373365,0.00086455,-0.138422235,0.1827597,-0.2043626,-0.1032735,-0.016235345,-0.053957275,-0.03092399,0.151540115,0.1672263,-0.255505433,-0.1180502,-0.1333957,0.08406164,-0.06037877,-0.05380857,0.14696807,-0.04100497,0.2534263,0.06701869,0.1803274,0.1166986,0.04985568,0.09473667,-0.07232441,0.029088105,-0.02054044,0.011152749,-0.1991274,0.04021683,-0.3859837,-0.00755478
